bioguide_id,office,fiscal_year_or_legislative_year,program,category,sort_sequence,start_date,end_date,purpose,amount,quarter,year,office_year,first_name,last_name,gender,party,state
B001292,2022 HON. DONALD S. BEYER  JR.,LY2022,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,SUBTOTAL,NA,NA,PERSONNEL COMPENSATION TOTALS:,380988.64,4,2022,2022,DONALD,BEYER,M,D,VA
B001292,2022 HON. DONALD S. BEYER  JR.,LY2022,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,SUBTOTAL,NA,NA,TRAVEL TOTALS:,1039.98,4,2022,2022,DONALD,BEYER,M,D,VA
B001292,2022 HON. DONALD S. BEYER  JR.,LY2022,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,SUBTOTAL,NA,NA,RENT  COMMUNICATION  UTILITIES TOTALS:,22835.71,4,2022,2022,DONALD,BEYER,M,D,VA
B001292,2022 HON. DONALD S. BEYER  JR.,LY2022,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,SUBTOTAL,NA,NA,FRANKED MAIL TOTALS:,359.96,4,2022,2022,DONALD,BEYER,M,D,VA
B001292,2022 HON. DONALD S. BEYER  JR.,LY2022,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,SUBTOTAL,NA,NA,OTHER SERVICES TOTALS:,5000,4,2022,2022,DONALD,BEYER,M,D,VA
B001292,2022 HON. DONALD S. BEYER  JR.,LY2022,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,SUBTOTAL,NA,NA,SUPPLIES AND MATERIALS TOTALS:,6177.9,4,2022,2022,DONALD,BEYER,M,D,VA
B001292,2022 HON. DONALD S. BEYER  JR.,LY2022,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,SUBTOTAL,NA,NA,EQUIPMENT TOTALS:,948,4,2022,2022,DONALD,BEYER,M,D,VA
B001292,2022 HON. DONALD S. BEYER  JR.,LY2022,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,SUBTOTAL,NA,NA,OFFICIAL EXPENSES OF MEMBERS TOTALS:,417350.19,4,2022,2022,DONALD,BEYER,M,D,VA
B001292,2021 HON. DONALD S. BEYER  JR.,LY2021,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,SUBTOTAL,NA,NA,RENT  COMMUNICATION  UTILITIES TOTALS:,-2177.9,4,2022,2021,DONALD,BEYER,M,D,VA
B001292,2021 HON. DONALD S. BEYER  JR.,LY2021,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,SUBTOTAL,NA,NA,OFFICIAL EXPENSES OF MEMBERS TOTALS:,-2177.9,4,2022,2021,DONALD,BEYER,M,D,VA
B001292,2022 HON. DONALD S. BEYER  JR.,LY2022,INTERN ALLOWANCES,PERSONNEL COMPENSATION,SUBTOTAL,NA,NA,PERSONNEL COMPENSATION TOTALS:,7025,4,2022,2022,DONALD,BEYER,M,D,VA
B001292,2022 HON. DONALD S. BEYER  JR.,LY2022,INTERN ALLOWANCES,PERSONNEL COMPENSATION,SUBTOTAL,NA,NA,INTERN ALLOWANCES TOTALS:,7025,4,2022,2022,DONALD,BEYER,M,D,VA
B001304,2022 HON. ANTHONY G. BROWN,LY2022,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,SUBTOTAL,NA,NA,PERSONNEL COMPENSATION TOTALS:,345111.07,4,2022,2022,ANTHONY,BROWN,M,D,MD
B001304,2022 HON. ANTHONY G. BROWN,LY2022,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,SUBTOTAL,NA,NA,TRAVEL TOTALS:,15707.82,4,2022,2022,ANTHONY,BROWN,M,D,MD
B001304,2022 HON. ANTHONY G. BROWN,LY2022,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,SUBTOTAL,NA,NA,RENT  COMMUNICATION  UTILITIES TOTALS:,6914.46,4,2022,2022,ANTHONY,BROWN,M,D,MD
B001304,2022 HON. ANTHONY G. BROWN,LY2022,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,SUBTOTAL,NA,NA,FRANKED MAIL TOTALS:,32.47,4,2022,2022,ANTHONY,BROWN,M,D,MD
B001304,2022 HON. ANTHONY G. BROWN,LY2022,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,SUBTOTAL,NA,NA,PRINTING AND REPRODUCTION TOTALS:,2392.91,4,2022,2022,ANTHONY,BROWN,M,D,MD
B001304,2022 HON. ANTHONY G. BROWN,LY2022,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,SUBTOTAL,NA,NA,OTHER SERVICES TOTALS:,3138.41,4,2022,2022,ANTHONY,BROWN,M,D,MD
B001304,2022 HON. ANTHONY G. BROWN,LY2022,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,SUBTOTAL,NA,NA,SUPPLIES AND MATERIALS TOTALS:,11967.32,4,2022,2022,ANTHONY,BROWN,M,D,MD
B001304,2022 HON. ANTHONY G. BROWN,LY2022,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,SUBTOTAL,NA,NA,EQUIPMENT TOTALS:,1299.39,4,2022,2022,ANTHONY,BROWN,M,D,MD
B001304,2022 HON. ANTHONY G. BROWN,LY2022,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,SUBTOTAL,NA,NA,OFFICIAL EXPENSES OF MEMBERS TOTALS:,386563.85,4,2022,2022,ANTHONY,BROWN,M,D,MD
B001304,2021 HON. ANTHONY G. BROWN,LY2021,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,SUBTOTAL,NA,NA,RENT  COMMUNICATION  UTILITIES TOTALS:,13742.55,4,2022,2021,ANTHONY,BROWN,M,D,MD
B001304,2021 HON. ANTHONY G. BROWN,LY2021,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,SUBTOTAL,NA,NA,SUPPLIES AND MATERIALS TOTALS:,49.99,4,2022,2021,ANTHONY,BROWN,M,D,MD
B001304,2021 HON. ANTHONY G. BROWN,LY2021,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,SUBTOTAL,NA,NA,OFFICIAL EXPENSES OF MEMBERS TOTALS:,13792.54,4,2022,2021,ANTHONY,BROWN,M,D,MD
B001304,2020 HON. ANTHONY G. BROWN,LY2020,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,SUBTOTAL,NA,NA,SUPPLIES AND MATERIALS TOTALS:,69.89,4,2022,2020,ANTHONY,BROWN,M,D,MD
B001304,2020 HON. ANTHONY G. BROWN,LY2020,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,SUBTOTAL,NA,NA,OFFICIAL EXPENSES OF MEMBERS TOTALS:,69.89,4,2022,2020,ANTHONY,BROWN,M,D,MD
